,Loc,Loc_Name,Loc Purp Desc,Loc/QTI,DC,Operating_Capacity,Total_Scheduled_Quantity,OAC,Loc_Zn,IT,Flow_Ind_Desc,State,County,Operator,OBA,G/T,Miles,EGM,Flw Cntl,All Qty Avail,Qty Reason,Cycle_Desc,Eff_Gas_Day,TSP
126,82540   ,TGC @ RICELAND - NORAM,Delivery Location,DPQ,75000,170,0,170,Z1A     ,N,D,AR      ,CHICOT,Arkansas Louisiana Gas Company,N,T,212,N,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
127,82552   ,FONTENOT COMMON POINT - KAISER-FRANCES OIL,Receipt Location,RPQ,10000,10000,0,10000,FLD     ,N,R,LA      ,JEFFERSON DAVIS,Kaiser-Frances Oil Company,N,T,-39,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
128,82569   ,KATY - KINDER MORGAN TEJAS PIPELINE,Receipt Location,RPQ,150000,150000,1,149999,FLD     ,N,R,TX      ,HARRIS,Kinder Morgan Tejas Pipeline LLC,Y,T,-166,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
129,82581   ,"CITY OF SENATOBIA, MS",Delivery Location,DPQ,1000,1000,247,753,Z1A     ,N,D,MS      ,TATE,"City of Senatobia, Mississippi",Y,T,343,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
130,82594   ,KATY INTERCONNECT TGC RECEIPT- DCP OPERATING,Receipt Location,RPQ,100000,40000,25001,14999,FLD     ,N,R,TX      ,WALLER,"DCP Operating Company, LP",Y,T,-171,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
131,82596   ,WICKIZER #1 - ARCADIA,Receipt Location,RPQ,3000,3000,0,3000,FLD     ,N,R,TX      ,MONTGOMERY,"Arcadia Operating, LLC",N,T,-128,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
132,82604   ,WOOD RANCH - CHARRO OPERATING ,Receipt Location,RPQ,9900,9900,723,9177,FLD     ,N,R,TX      ,GOLIAD,Charro Operating,N,T,-298,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
133,82626   ,SOUTHWEST MANCHESTER INTCT - GOLDKING OPERATING ,Receipt Location,RPQ,4000,4000,100,3900,FLD     ,Y,R,LA      ,CALCASIEU,Goldking Operating Company,N,T,-23,Y,N,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
134,82640   ,NE WRIGHT FIELD - MURPHY EXPLORATION,Receipt Location,RPQ,40000,40000,0,40000,FLD     ,N,R,LA      ,VERMILION,"White Oak Resources VI, LLC",N,T,-71,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
135,82666   ,TGC - TARGA INTERCONNECT AT BIG LAKE ROAD,Delivery Location,DPQ,300000,200000,85298,114702,FLD     ,Y,D,LA      ,CALCASIEU,Targa Midstream Services LLC,Y,T,-23,Y,Y,Y,,Intraday%203-2021-01-26-7933062,2021-01-26 21:57:22.286496,7933062
